domain,countryCode,LON,PageViewsEnglish,birthyear,birthstate,occupation,en_curid,numlangs,birthcity,AverageViews,TotalPageViews,countryName,HPI,countryCode3,PageViewsNonEnglish,name,L_star,gender,industry,StdDevPageViews,continentName,LAT,wikiquote name
ARTS,US,-73.990278,5964929,1954,NY,COMEDIAN,104492,34,New York,208645.8235,7093958,UNITED STATES,21.56163219,USA,1129029,Jerry Seinfeld,2.312801302,Male,FILM AND THEATRE,14883.92677,North America,40.692778,Jerry Seinfeld
ARTS,US,-73.972515,14261757,1954,NJ,ACTOR,54174,64,Englewood,418778.8594,26801847,UNITED STATES,24.64613939,USA,12540090,John Travolta,6.23292851,Male,FILM AND THEATRE,144963.8162,North America,40.891197,John Travolta
INSTITUTIONS,US,-73.886,4624400,1954,NY,JUDGE,2095829,26,New York,189663.1538,4931242,UNITED STATES,17.03359951,USA,306842,Sonia Sotomayor,1.446311637,Female,GOVERNMENT,124483.7112,North America,40.8373,Sonia Sotomayor
SCIENCE & TECHNOLOGY,CA,-73.566667,1250028,1954,,PSYCHOLOGIST,44340,29,Montreal,61697.31034,1789222,Canada,20.51117667,CAN,539194,Steven Pinker,3.953049714,Male,SOCIAL SCIENCES,7472.280417,North America,45.5,Steven Pinker
INSTITUTIONS,GB,-3.61054,824993,1954,,POLITICIAN,21234593,30,Linlithgow,35362.03333,1060861,UNITED KINGDOM,18.85466708,GBR,235868,Alex Salmond,3.073884309,Male,GOVERNMENT,8170.767678,Europe,55.97905,Alex Salmond
HUMANITIES,GB,-3.4393,1512816,1954,,WRITER,14858,26,Dunfermline,71626.19231,1862281,UNITED KINGDOM,17.95626661,GBR,349465,Iain Banks,2.597412302,Male,LANGUAGE,38217.30784,Europe,56.07192,Iain Banks
ARTS,GB,-0.173,4685447,1954,,MUSICIAN,10510,34,London,207780.1176,7064524,UNITED KINGDOM,22.77414181,GBR,2379077,Elvis Costello,4.192566546,Male,MUSIC,16841.10641,Europe,51.5172,Elvis Costello
INSTITUTIONS,LU,5.883333,399270,1954,,POLITICIAN,393865,47,Redange,27369.02128,1286344,LUXEMBOURG,21.60558013,LUX,887074,Jean-Claude Juncker,9.529391333,Male,GOVERNMENT,11558.4666,Europe,49.766667,Jean-Claude Juncker
INSTITUTIONS,DE,10.001389,5703830,1954,,POLITICIAN,72671,112,Hamburg,161930.6875,18136237,Germany,25.42176592,DEU,12432407,Angela Merkel,9.39729207,Female,GOVERNMENT,118139.4496,Europe,53.565278,Angela Merkel
ARTS,BA,18.416667,1137176,1954,,FILM DIRECTOR,429800,52,Sarajevo,91450.44231,4755423,BOSNIA AND HERZEGOVINA,24.79983834,BIH,3618247,Emir Kusturica,12.50725727,Male,FILM AND THEATRE,10375.86475,Europe,43.866667,Emir Kusturica
ARTS,GR,22.116667,2622547,1954,,MUSICIAN,333562,35,Kalamata,120811.6857,4228409,Greece,22.09789857,GRC,1605862,Yanni,4.932197536,Male,MUSIC,16203.27333,Europe,37.033333,Yanni
INSTITUTIONS,BY,30.291667,1063905,1954,,POLITICIAN,156589,73,Kopys,38695.75342,2824790,BELARUS,22.98673937,BLR,1760885,Alexander Lukashenko,12.3450207,Male,GOVERNMENT,25475.47163,Europe,54.324444,Alexander Lukashenko
INSTITUTIONS,UA,33.8146,1284766,1954,,POLITICIAN,1102876,71,Khoruzhivka,41953.59155,2978705,UKRAINE,23.11158518,UKR,1693939,Viktor Yushchenko,10.00351569,Male,GOVERNMENT,17976.5691,Europe,50.912,Viktor Yushchenko
ARTS,HK,114.143828,20340484,1954,,ACTOR,144936,81,Victoria Peak,545800.2099,44209817,,25.86720547,HKG,23869333,Jackie Chan,8.512264478,Male,FILM AND THEATRE,232011.2176,Asia,22.275469,Jackie Chan
ARTS,TW,120.533333,3376463,1954,,FILM DIRECTOR,18949253,55,Chaojhou,111241.7818,6118298,Taiwan,21.78827073,TWN,2741835,Ang Lee,6.10839996,Male,FILM AND THEATRE,106179.5315,Asia,22.55,Ang Lee
HUMANITIES,JP,129.866667,1316751,1954,,WRITER,83499,31,Nagasaki,72896.41935,2259789,JAPAN,20.88148178,JPN,943038,Kazuo Ishiguro,4.724064945,Male,LANGUAGE,14560.18126,Asia,32.783333,Kazuo Ishiguro
ARTS,US,-118.25,4216752,1953,CA,COMPOSER,8397,37,Los Angeles,168895.5946,6249137,UNITED STATES,22.84920063,USA,2032385,Danny Elfman,3.971571213,Male,MUSIC,14210.85359,North America,34.05,Danny Elfman
ARTS,US,-104.881105,6027905,1953,CO,ACTOR,188899,35,Denver,233351.5429,8167304,UNITED STATES,21.82600929,USA,2139399,Tim Allen,2.91885746,Male,FILM AND THEATRE,37813.58511,North America,39.76185,Tim Allen
INSTITUTIONS,US,-102.1,3035315,1953,TX,POLITICIAN,189322,31,Midland,119507.9677,3704747,United States,19.85176657,USA,669432,Jeb Bush,2.571294345,Male,GOVERNMENT,30156.27145,North America,32,Jeb Bush
HUMANITIES,US,-93.348056,1411108,1953,MN,WRITER,176157,26,St. Louis Park,69703.61538,1812294,UNITED STATES,20.21383533,USA,401186,Thomas L. Friedman,3.011407219,Male,LANGUAGE,6046.052679,North America,44.948333,Thomas Friedman
INSTITUTIONS,US,-82.955833,4333844,1953,SC,POLITICIAN,166163,34,Seneca,140393.2353,4773370,UNITED STATES,18.62205291,USA,439526,John Edwards,1.728117578,Male,GOVERNMENT,64315.97576,North America,34.684167,John Edwards
